Source,Text,Date,Compound,Positive,Neutral,Negative
@BBCWorld,"RT @BBCWorld: Bangladesh #RoadSafety protests bring Dhaka to standstill

https://t.co/aCugXlnBu2 #WeWantJustice https://t.co/OgdBNZhJ03",Sun Aug 05 03:34:24 +0000 2018,-0.2263,0.0,0.853,0.147
@BBCWorld,RT @middayminyoongi: The potential for increased news outlets to cover the situation in Bangladesh rises if #WeWantJustice starts trending…,Sun Aug 05 03:34:23 +0000 2018,0.2732,0.104,0.896,0.0
@BBCWorld,@CNN @cnnbrk @UNICEF @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNews @BuzzFeed @FoxNews @nytimes @ABC… https://t.co/jz6SqEwNOY,Sun Aug 05 03:34:23 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @BBCWorld: Hidden WW2 Éire sign revealed after gorse fire https://t.co/BwN2xSp8CZ,Sun Aug 05 03:34:21 +0000 2018,-0.34,0.0,0.806,0.194
@BBCWorld,RT @MayamiTasnia: The govt have started a bloodbath to silence the voice of the youth of Bangladesh. Internet has been slowed down and loca…,Sun Aug 05 03:34:20 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @MicheBangtan: A government is supposed to protect its people and listen to them. Not silence them. Please report this news internationa…,Sun Aug 05 03:34:18 +0000 2018,0.5994,0.205,0.795,0.0
@BBCWorld,RT @larrxsun: @CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNews @BuzzFeed @FoxNe…,Sun Aug 05 03:34:14 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"#شاعرك_المفضل
#WeDemandJustice
#EndViolence
@UNICEF @UNICEFUSA @unicefbrasil
@CNN @cnnbrk @UNICEF @unicefbrasil… https://t.co/O0qQg6MCGo",Sun Aug 05 03:34:13 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"ขนาดนี้เเล้วเราต้องช่วยกันเถอะ. ช่วยเพื่อนมนุษย์ของเรา 
#WeDemandJustice
@CNN 
@BBC 
@UNICEF 
@BBCWorld https://t.co/BM1iZmPSyR",Sun Aug 05 03:34:13 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @BBCWorld: Bangladesh students attacked during Dhaka protest https://t.co/DvDx9pqqud,Sun Aug 05 03:34:12 +0000 2018,-0.6124,0.0,0.583,0.417
@BBCWorld,"@BBCWorld Went on religious grounds to fight, but when it gets a bit lively they suddenly want to come ‘home’ tough you made your bed.",Sun Aug 05 03:34:12 +0000 2018,0.4118,0.184,0.693,0.123
@BBCWorld,@BBCWorld @BBCBreaking @SZ_Intl @SZ_Bayern @dwnews @CNN @UNICEF @UN #WeWantJustice #WeDemandJustice… https://t.co/xm6iOBZkJ9,Sun Aug 05 03:34:11 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @HGNAzul: @parkhaengjin @CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNews @Bu…,Sun Aug 05 03:34:10 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @Toni_AndoliniHN: Aca estan los verdaderos violentos en manifestaciones pacificas de Honduras
@teleSURtv @ActualidadRT @Hispantv @lajorn…",Sun Aug 05 03:34:08 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @jinkiart: @parkhaengjin @CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBreaking @BBCWorld @BBC @g1 @g1mundo  @F…,Sun Aug 05 03:34:08 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @Namtan_GNK: ได้โปรดเถอะอาร์มี่ช่วยพวกเรากระจายข่าวนี้ นร.กลุ่มนี้กำลังจะตายกันหมดจากเหตุการณ์นี้ ได้โปรดช่วยกันรีทวิต(ทวิตด้านบนสุด)และ…,Sun Aug 05 03:34:08 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @dailyunnie: #WeWantJustice 

TRIGGER WARNING

Graphic content warning 
@CNN @BBCWorld https://t.co/4AQdNXwBYD",Sun Aug 05 03:34:03 +0000 2018,-0.6739,0.0,0.619,0.381
@BBCWorld,RT @xflowersnarry: @parkhaengjin @CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNe…,Sun Aug 05 03:34:01 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,@DKMaraga @RailaOdinga @UKenyatta @Ken_Lusaka @SpeakerJBMuturi @MusaliaMudavadi @skmusyoka @Wetangulam @WhiteHouse… https://t.co/OKZKRFG07w,Sun Aug 05 03:34:01 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @mermaidteears: @parkhaengjin @CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNe…,Sun Aug 05 03:34:00 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @jaeelou7: @parkhaengjin #WeWantJustice  @cnni @cnnbrk @BBCWorld @BBC @AlJazeera @ABC @HuffPost @UNICEF @hrw @BBCBreaking @NBCNews @NBCN…,Sun Aug 05 03:33:58 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @_Joons_: ARMY WE CAN GET THIS TO TREND!! Ik we Can 

#WeDemandJustice
#TheyDeserveJustice 

@CNN @BBCWorld @nowthisnews @BuzzFeedNews @…",Sun Aug 05 03:33:55 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @chiwllax: @parkhaengjin @CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBreaking @BBCWorld @BBC @g1 @g1mundo  @F…,Sun Aug 05 03:33:54 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"@TasnimJerry @LisaJG123 @CNN @BBCWorld @AlJazeera This is really disgusting! 😡 

#WeWantJustice #WeWantSafeRoad… https://t.co/WhcLRCKTmh",Sun Aug 05 03:33:54 +0000 2018,-0.6105,0.0,0.734,0.266
@BBCWorld,"RT @LYWHATLY: WE NEED YOUR HELP. PLEASE HELP US TO LET THE WORLD KNOW WHAT IS GOING ON IN. 
AND WE ARE BADLY IN NEED OF INTERNATIONAL SUPPO…",Sun Aug 05 03:33:53 +0000 2018,0.5574,0.221,0.69,0.089
@BBCWorld,RT @taimarcansoni2: @parkhaengjin @CNN @BBCWorld @NPR @NewsHour @politico @AP  @ReutersWorld @NBCNews @BBCBreaking @RedeGlobo @sbtjornalism…,Sun Aug 05 03:33:53 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @boymeetsxevil: @CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNews @BuzzFeed @…,Sun Aug 05 03:33:53 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @BBCWorld: Bangladesh students attacked during Dhaka protest https://t.co/DvDx9pqqud,Sun Aug 05 03:33:53 +0000 2018,-0.6124,0.0,0.583,0.417
@BBCWorld,RT @PrinMahnoor: @parkhaengjin @CNN @BBCWorld @NPR @NewsHour @politico @AP  @ReutersWorld @NBCNews @BBCBreaking @RedeGlobo @sbtjornalismo @…,Sun Aug 05 03:33:51 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @indigoostrich67: HELP US, PLEASE. #WeWantJustice @CNN @BBCWorld @NPR @NewsHour @politico @AlJazeera @ReutersWorld @AP",Sun Aug 05 03:33:50 +0000 2018,0.7555,0.35,0.65,0.0
@BBCWorld,RT @MayamiTasnia: The govt have started a bloodbath to silence the voice of the youth of Bangladesh. Internet has been slowed down and loca…,Sun Aug 05 03:33:50 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @_zirth: @parkhaengjin @CNN @BBCWorld @NPR @NewsHour @politico @AP  @ReutersWorld @NBCNews @BBCBreaking @RedeGlobo @sbtjornalismo @g1 @A…,Sun Aug 05 03:33:49 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @Mey1666: @parkhaengjin @yeollietrack @CNN @BBCWorld @NPR @NewsHour @politico @AP  @ReutersWorld @NBCNews @BBCBreaking @RedeGlobo @sbtjo…,Sun Aug 05 03:33:47 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @ManitasDeMochi: #WeWantJustice
@BBCWorld
Ellos solo quieren mejorar su país, no es posible que su propio cuerpo de seguridad y gobierno…",Sun Aug 05 03:33:47 +0000 2018,-0.296,0.0,0.896,0.104
@BBCWorld,"RT @TheOnionBTS: When governments fail their constituents, it is up to the people to speak up.

When the people are silenced, the responsib…",Sun Aug 05 03:33:46 +0000 2018,-0.5423,0.0,0.863,0.137
@BBCWorld,RT @jungooteas: Let's help them fam ! Tag @CNN @BBCWorld as much as u can . We won't let all of those Bangladeshi students die without a ju…,Sun Aug 05 03:33:46 +0000 2018,-0.3595,0.093,0.761,0.145
@BBCWorld,"RT @JHSKSEOKJ: @CNN @cnnbrk @UNICEF @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNews @BuzzFeed @FoxNews @nytimes @ABC 

 #WeWantJustice",Sun Aug 05 03:33:44 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @loucurlyinlove: @parkhaengjin @CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedN…,Sun Aug 05 03:33:44 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @haeaction: @parkhaengjin @CNN @BBCWorld @NPR @NewsHour @politico @AP  @ReutersWorld @NBCNews @BBCBreaking @RedeGlobo @sbtjornalismo @g1…,Sun Aug 05 03:33:41 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @BBCWorld: Bangladesh students attacked during Dhaka protest https://t.co/DvDx9pqqud,Sun Aug 05 03:33:40 +0000 2018,-0.6124,0.0,0.583,0.417
@BBCWorld,RT @BBCWorld: Bangladesh students attacked during Dhaka protest https://t.co/DvDx9pqqud,Sun Aug 05 03:33:39 +0000 2018,-0.6124,0.0,0.583,0.417
@BBCWorld,RT @kmults: @kthartic @jdbftbts @CNN @cnnbrk @UNICEF @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNews @BuzzFeed @FoxNews @nytimes @ABC…,Sun Aug 05 03:33:39 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @SkShohorab: It was a peaceful protest but now situation is worsening. Our Govt. is trying to hide their illegal attack on innocent stud…,Sun Aug 05 03:33:38 +0000 2018,-0.9081,0.138,0.423,0.439
@BBCWorld,RT @fritandonosol: @parkhaengjin @CNN @BBCWorld @NPR @NewsHour @politico @AP  @ReutersWorld @NBCNews @BBCBreaking @RedeGlobo @sbtjornalismo…,Sun Aug 05 03:33:37 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @Where_You_Blong: @kthartic #wewantjusitce #WeWantJustice @BBC @BBCWorld @CNN @cnnbrk @cnni @UNICEF @BuzzFeedNews @nytimes @CBSNews @CBS…,Sun Aug 05 03:33:34 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"@azadamran7 This was so so hard to watch, praying for all. Please help them, what is happening to them isn't right… https://t.co/8GE2MixUWw",Sun Aug 05 03:33:33 +0000 2018,0.6469,0.271,0.649,0.08
@BBCWorld,RT @SkShohorab: It was a peaceful protest but now situation is worsening. Our Govt. is trying to hide their illegal attack on innocent stud…,Sun Aug 05 03:33:32 +0000 2018,-0.9081,0.138,0.423,0.439
@BBCWorld,RT @cantakemysoul: @parkhaengjin @exoplwnetz @CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBreaking @BBCWorld @BBC…,Sun Aug 05 03:33:32 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @jungooteas: Let's help them fam ! Tag @CNN @BBCWorld as much as u can . We won't let all of those Bangladeshi students die without a ju…,Sun Aug 05 03:33:31 +0000 2018,-0.3595,0.093,0.761,0.145
@BBCWorld,RT @jjksmeraldo: @kthartic @yoongirxse @CNN @cnnbrk @UNICEF @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNews @BuzzFeed @FoxNews @nytimes…,Sun Aug 05 03:33:30 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"#WeDemandJustice
Can you help them. #WeDemandJustice
@CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk… https://t.co/0OjNeA66DF",Sun Aug 05 03:33:30 +0000 2018,0.4019,0.184,0.816,0.0
@BBCWorld,RT @morganswitch: @parkhaengjin @CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNew…,Sun Aug 05 03:33:29 +0000 2018,0.0,0.0,1.0,0.0
